타임스탬프,1. 처음 오는 대학교 정문에는 도착했지만 본관까지는 길을 모를 때,2. 저 달라진 거 없어요?,3. 미용실 가서 머리 바꾸기,4. 정말 오랜만에 친구를 만났다. 그 이후는?,5. 카페에 갔는데 신메뉴가 나왓다,6. 아아 주문을 했는데 핫아가 나와버림,자신이 가입할 동아리는 어디인가요?
2022.5.19 오후 3:09:39,1. 지나가는 사람에게 물어본다,1. 2가지 이상 찾았다,1. 머리를 바꿔본다,1. 인사만 하고 헤어짐,2. 신메뉴를 먹어본다,2. 바꿔서 다시 달라한다,1. 문화/취미
2022.5.19 오후 3:10:42,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,1. 먹던거 먹는다,2. 바꿔서 다시 달라한다,1. 문화/취미
2022.5.19 오후 3:11:18,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,2. 신메뉴를 먹어본다,2. 바꿔서 다시 달라한다,1. 문화/취미
2022.5.19 오후 3:15:32,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,2. 신메뉴를 먹어본다,2. 바꿔서 다시 달라한다,1. 문화/취미
2022.5.19 오후 3:21:12,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,1. 머리를 바꿔본다,2. 같이 카페가서 다음에 만날 약속 잡음,1. 먹던거 먹는다,1. 그냥 먹는다,6. 체육/레저
2022.5.19 오후 3:22:23,1. 지나가는 사람에게 물어본다,1. 2가지 이상 찾았다,1. 머리를 바꿔본다,2. 같이 카페가서 다음에 만날 약속 잡음,2. 신메뉴를 먹어본다,1. 그냥 먹는다,6. 체육/레저
2022.5.19 오후 3:52:15,1. 지나가는 사람에게 물어본다,1. 2가지 이상 찾았다,1. 머리를 바꿔본다,2. 같이 카페가서 다음에 만날 약속 잡음,1. 먹던거 먹는다,2. 바꿔서 다시 달라한다,6. 체육/레저
2022.5.19 오후 3:59:06,1. 지나가는 사람에게 물어본다,1. 2가지 이상 찾았다,1. 머리를 바꿔본다,1. 인사만 하고 헤어짐,1. 먹던거 먹는다,2. 바꿔서 다시 달라한다,1. 문화/취미
2022.5.19 오후 4:01:25,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,2. 신메뉴를 먹어본다,2. 바꿔서 다시 달라한다,2. 공연/예술/음악
2022.5.19 오후 4:07:28,1. 지나가는 사람에게 물어본다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,1. 먹던거 먹는다,1. 그냥 먹는다,3. 종교
2022.5.19 오후 4:10:02,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,1. 먹던거 먹는다,2. 바꿔서 다시 달라한다,2. 공연/예술/음악
2022.5.19 오후 4:16:34,1. 지나가는 사람에게 물어본다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,2. 같이 카페가서 다음에 만날 약속 잡음,2. 신메뉴를 먹어본다,2. 바꿔서 다시 달라한다,5. 봉사
2022.5.19 오후 4:27:54,1. 지나가는 사람에게 물어본다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,1. 먹던거 먹는다,2. 바꿔서 다시 달라한다,6. 체육/레저
2022.5.19 오후 4:41:39,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,2. 같이 카페가서 다음에 만날 약속 잡음,2. 신메뉴를 먹어본다,1. 그냥 먹는다,3. 종교
2022.5.19 오후 4:41:50,1. 지나가는 사람에게 물어본다,3. 못찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,2. 신메뉴를 먹어본다,2. 바꿔서 다시 달라한다,3. 종교
2022.5.19 오후 4:42:13,2. 지도 어플을 켠다,2. 1가지 이상 찾았다,1. 머리를 바꿔본다,1. 인사만 하고 헤어짐,1. 먹던거 먹는다,2. 바꿔서 다시 달라한다,3. 종교
2022.5.19 오후 4:56:41,1. 지나가는 사람에게 물어본다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,2. 같이 카페가서 다음에 만날 약속 잡음,1. 먹던거 먹는다,2. 바꿔서 다시 달라한다,1. 문화/취미
2022.5.19 오후 4:58:28,2. 지도 어플을 켠다,3. 못찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,1. 먹던거 먹는다,1. 그냥 먹는다,1. 문화/취미
2022.5.19 오후 4:58:37,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,1. 먹던거 먹는다,1. 그냥 먹는다,1. 문화/취미
2022.5.19 오후 4:58:46,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,1. 먹던거 먹는다,1. 그냥 먹는다,6. 체육/레저
2022.5.19 오후 4:58:49,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,1. 머리를 바꿔본다,1. 인사만 하고 헤어짐,1. 먹던거 먹는다,2. 바꿔서 다시 달라한다,1. 문화/취미
2022.5.19 오후 4:58:57,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,1. 머리를 바꿔본다,1. 인사만 하고 헤어짐,1. 먹던거 먹는다,1. 그냥 먹는다,1. 문화/취미
2022.5.19 오후 4:59:31,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,1. 머리를 바꿔본다,1. 인사만 하고 헤어짐,2. 신메뉴를 먹어본다,1. 그냥 먹는다,6. 체육/레저
2022.5.19 오후 4:59:36,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,1. 먹던거 먹는다,1. 그냥 먹는다,6. 체육/레저
2022.5.19 오후 5:01:22,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,1. 먹던거 먹는다,1. 그냥 먹는다,1. 문화/취미
2022.5.19 오후 5:02:20,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,1. 머리를 바꿔본다,1. 인사만 하고 헤어짐,2. 신메뉴를 먹어본다,1. 그냥 먹는다,6. 체육/레저
2022.5.19 오후 5:02:34,1. 지나가는 사람에게 물어본다,1. 2가지 이상 찾았다,1. 머리를 바꿔본다,2. 같이 카페가서 다음에 만날 약속 잡음,2. 신메뉴를 먹어본다,2. 바꿔서 다시 달라한다,6. 체육/레저
2022.5.19 오후 5:03:00,1. 지나가는 사람에게 물어본다,1. 2가지 이상 찾았다,1. 머리를 바꿔본다,2. 같이 카페가서 다음에 만날 약속 잡음,2. 신메뉴를 먹어본다,1. 그냥 먹는다,1. 문화/취미
2022.5.19 오후 5:03:04,1. 지나가는 사람에게 물어본다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,2. 신메뉴를 먹어본다,2. 바꿔서 다시 달라한다,6. 체육/레저
2022.5.19 오후 5:03:30,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,1. 먹던거 먹는다,1. 그냥 먹는다,5. 봉사
2022.5.19 오후 5:03:45,1. 지나가는 사람에게 물어본다,3. 못찾았다,1. 머리를 바꿔본다,1. 인사만 하고 헤어짐,2. 신메뉴를 먹어본다,1. 그냥 먹는다,2. 공연/예술/음악
2022.5.19 오후 5:07:40,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,1. 머리를 바꿔본다,2. 같이 카페가서 다음에 만날 약속 잡음,1. 먹던거 먹는다,2. 바꿔서 다시 달라한다,2. 공연/예술/음악
2022.5.19 오후 5:07:42,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,1. 머리를 바꿔본다,1. 인사만 하고 헤어짐,2. 신메뉴를 먹어본다,1. 그냥 먹는다,6. 체육/레저
2022.5.19 오후 5:07:54,1. 지나가는 사람에게 물어본다,1. 2가지 이상 찾았다,1. 머리를 바꿔본다,2. 같이 카페가서 다음에 만날 약속 잡음,1. 먹던거 먹는다,2. 바꿔서 다시 달라한다,4. 학술
2022.5.19 오후 5:07:59,2. 지도 어플을 켠다,2. 1가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,1. 먹던거 먹는다,2. 바꿔서 다시 달라한다,1. 문화/취미
2022.5.19 오후 5:08:44,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,2. 같이 카페가서 다음에 만날 약속 잡음,2. 신메뉴를 먹어본다,1. 그냥 먹는다,1. 문화/취미
2022.5.19 오후 5:09:53,1. 지나가는 사람에게 물어본다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,2. 신메뉴를 먹어본다,2. 바꿔서 다시 달라한다,6. 체육/레저
2022.5.19 오후 5:10:02,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,1. 머리를 바꿔본다,1. 인사만 하고 헤어짐,2. 신메뉴를 먹어본다,1. 그냥 먹는다,6. 체육/레저
2022.5.19 오후 5:20:54,1. 지나가는 사람에게 물어본다,1. 2가지 이상 찾았다,1. 머리를 바꿔본다,1. 인사만 하고 헤어짐,2. 신메뉴를 먹어본다,1. 그냥 먹는다,1. 문화/취미
2022.5.19 오후 5:26:11,1. 지나가는 사람에게 물어본다,1. 2가지 이상 찾았다,1. 머리를 바꿔본다,1. 인사만 하고 헤어짐,1. 먹던거 먹는다,2. 바꿔서 다시 달라한다,4. 학술
2022.5.19 오후 5:27:31,1. 지나가는 사람에게 물어본다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,2. 신메뉴를 먹어본다,2. 바꿔서 다시 달라한다,7. 창업
2022.5.19 오후 5:38:27,1. 지나가는 사람에게 물어본다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,1. 먹던거 먹는다,2. 바꿔서 다시 달라한다,6. 체육/레저
2022.5.19 오후 5:50:04,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,1. 먹던거 먹는다,2. 바꿔서 다시 달라한다,1. 문화/취미
2022.5.19 오후 5:50:38,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,1. 먹던거 먹는다,2. 바꿔서 다시 달라한다,2. 공연/예술/음악
2022.5.19 오후 6:05:39,1. 지나가는 사람에게 물어본다,1. 2가지 이상 찾았다,1. 머리를 바꿔본다,2. 같이 카페가서 다음에 만날 약속 잡음,2. 신메뉴를 먹어본다,1. 그냥 먹는다,1. 문화/취미
2022.5.19 오후 6:13:02,2. 지도 어플을 켠다,2. 1가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,1. 먹던거 먹는다,1. 그냥 먹는다,1. 문화/취미
2022.5.19 오후 6:51:46,1. 지나가는 사람에게 물어본다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,2. 같이 카페가서 다음에 만날 약속 잡음,2. 신메뉴를 먹어본다,2. 바꿔서 다시 달라한다,7. 창업
2022. 5. 20 오전 11:39:44,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,1. 머리를 바꿔본다,1. 인사만 하고 헤어짐,2. 신메뉴를 먹어본다,1. 그냥 먹는다,4. 학술
2022. 5. 20 오후 12:04:04,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,1. 머리를 바꿔본다,1. 인사만 하고 헤어짐,1. 먹던거 먹는다,1. 그냥 먹는다,2. 공연/예술/음악
2022. 5. 20 오후 12:35:50,2. 지도 어플을 켠다,3. 못찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,2. 신메뉴를 먹어본다,1. 그냥 먹는다,2. 공연/예술/음악
2022. 5. 20 오후 12:40:41,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,2. 같이 카페가서 다음에 만날 약속 잡음,1. 먹던거 먹는다,1. 그냥 먹는다,1. 문화/취미
2022. 5. 20 오후 12:41:06,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,2. 신메뉴를 먹어본다,1. 그냥 먹는다,1. 문화/취미
2022. 5. 20 오후 12:41:29,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,2. 같이 카페가서 다음에 만날 약속 잡음,1. 먹던거 먹는다,2. 바꿔서 다시 달라한다,1. 문화/취미
2022. 5. 20 오후 12:43:18,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,1. 머리를 바꿔본다,1. 인사만 하고 헤어짐,1. 먹던거 먹는다,1. 그냥 먹는다,2. 공연/예술/음악
2022. 5. 20 오후 12:43:33,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,1. 머리를 바꿔본다,1. 인사만 하고 헤어짐,1. 먹던거 먹는다,2. 바꿔서 다시 달라한다,6. 체육/레저
2022. 5. 20 오후 1:03:53,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,1. 머리를 바꿔본다,1. 인사만 하고 헤어짐,1. 먹던거 먹는다,2. 바꿔서 다시 달라한다,1. 문화/취미
2022. 5. 20 오후 1:07:21,1. 지나가는 사람에게 물어본다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,2. 같이 카페가서 다음에 만날 약속 잡음,1. 먹던거 먹는다,2. 바꿔서 다시 달라한다,6. 체육/레저
2022. 5. 20 오후 1:10:14,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,1. 머리를 바꿔본다,1. 인사만 하고 헤어짐,1. 먹던거 먹는다,2. 바꿔서 다시 달라한다,1. 문화/취미
2022. 5. 20 오후 1:11:16,1. 지나가는 사람에게 물어본다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,1. 먹던거 먹는다,2. 바꿔서 다시 달라한다,2. 공연/예술/음악
2022. 5. 20 오후 1:19:19,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,1. 먹던거 먹는다,2. 바꿔서 다시 달라한다,6. 체육/레저
2022. 5. 20 오후 1:20:36,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,1. 머리를 바꿔본다,2. 같이 카페가서 다음에 만날 약속 잡음,2. 신메뉴를 먹어본다,1. 그냥 먹는다,2. 공연/예술/음악
2022. 5. 20 오후 1:21:33,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,1. 먹던거 먹는다,2. 바꿔서 다시 달라한다,6. 체육/레저
2022. 5. 20 오후 1:24:52,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,1. 먹던거 먹는다,1. 그냥 먹는다,4. 학술
2022. 5. 20 오후 1:28:43,1. 지나가는 사람에게 물어본다,1. 2가지 이상 찾았다,1. 머리를 바꿔본다,2. 같이 카페가서 다음에 만날 약속 잡음,2. 신메뉴를 먹어본다,1. 그냥 먹는다,4. 학술
2022. 5. 20 오후 1:32:06,1. 지나가는 사람에게 물어본다,1. 2가지 이상 찾았다,1. 머리를 바꿔본다,2. 같이 카페가서 다음에 만날 약속 잡음,2. 신메뉴를 먹어본다,2. 바꿔서 다시 달라한다,6. 체육/레저
2022. 5. 20 오후 1:37:22,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,1. 먹던거 먹는다,1. 그냥 먹는다,1. 문화/취미
2022. 5. 20 오후 1:38:22,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,1. 머리를 바꿔본다,1. 인사만 하고 헤어짐,2. 신메뉴를 먹어본다,2. 바꿔서 다시 달라한다,1. 문화/취미
2022. 5. 20 오후 1:54:05,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,1. 먹던거 먹는다,2. 바꿔서 다시 달라한다,1. 문화/취미
2022. 5. 20 오후 1:56:38,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,1. 먹던거 먹는다,2. 바꿔서 다시 달라한다,6. 체육/레저
2022. 5. 20 오후 2:04:52,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,1. 머리를 바꿔본다,1. 인사만 하고 헤어짐,1. 먹던거 먹는다,2. 바꿔서 다시 달라한다,2. 공연/예술/음악
2022. 5. 20 오후 2:04:54,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,1. 머리를 바꿔본다,1. 인사만 하고 헤어짐,2. 신메뉴를 먹어본다,2. 바꿔서 다시 달라한다,1. 문화/취미
2022. 5. 20 오후 2:05:01,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,2. 같이 카페가서 다음에 만날 약속 잡음,2. 신메뉴를 먹어본다,1. 그냥 먹는다,1. 문화/취미
2022. 5. 20 오후 2:05:04,1. 지나가는 사람에게 물어본다,1. 2가지 이상 찾았다,1. 머리를 바꿔본다,2. 같이 카페가서 다음에 만날 약속 잡음,2. 신메뉴를 먹어본다,1. 그냥 먹는다,2. 공연/예술/음악
2022. 5. 20 오후 2:05:06,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,2. 같이 카페가서 다음에 만날 약속 잡음,2. 신메뉴를 먹어본다,1. 그냥 먹는다,2. 공연/예술/음악
2022. 5. 20 오후 2:05:08,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,2. 같이 카페가서 다음에 만날 약속 잡음,1. 먹던거 먹는다,2. 바꿔서 다시 달라한다,1. 문화/취미
2022. 5. 20 오후 2:05:17,1. 지나가는 사람에게 물어본다,1. 2가지 이상 찾았다,1. 머리를 바꿔본다,2. 같이 카페가서 다음에 만날 약속 잡음,2. 신메뉴를 먹어본다,1. 그냥 먹는다,2. 공연/예술/음악
2022. 5. 20 오후 2:05:19,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,1. 먹던거 먹는다,1. 그냥 먹는다,1. 문화/취미
2022. 5. 20 오후 2:05:32,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,2. 신메뉴를 먹어본다,2. 바꿔서 다시 달라한다,1. 문화/취미
2022. 5. 20 오후 2:06:39,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,2. 같이 카페가서 다음에 만날 약속 잡음,1. 먹던거 먹는다,2. 바꿔서 다시 달라한다,2. 공연/예술/음악
2022. 5. 20 오후 2:07:41,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,1. 먹던거 먹는다,2. 바꿔서 다시 달라한다,1. 문화/취미
2022. 5. 20 오후 2:08:42,1. 지나가는 사람에게 물어본다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,2. 신메뉴를 먹어본다,2. 바꿔서 다시 달라한다,6. 체육/레저
2022. 5. 20 오후 2:09:33,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,1. 먹던거 먹는다,1. 그냥 먹는다,5. 봉사
2022. 5. 20 오후 2:10:49,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,1. 머리를 바꿔본다,1. 인사만 하고 헤어짐,2. 신메뉴를 먹어본다,2. 바꿔서 다시 달라한다,6. 체육/레저
2022. 5. 20 오후 2:13:05,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,2. 신메뉴를 먹어본다,2. 바꿔서 다시 달라한다,1. 문화/취미
2022. 5. 20 오후 2:18:32,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,2. 신메뉴를 먹어본다,2. 바꿔서 다시 달라한다,2. 공연/예술/음악
2022. 5. 20 오후 2:19:48,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,1. 머리를 바꿔본다,1. 인사만 하고 헤어짐,2. 신메뉴를 먹어본다,2. 바꿔서 다시 달라한다,1. 문화/취미
2022. 5. 20 오후 2:20:32,2. 지도 어플을 켠다,2. 1가지 이상 찾았다,1. 머리를 바꿔본다,1. 인사만 하고 헤어짐,1. 먹던거 먹는다,2. 바꿔서 다시 달라한다,6. 체육/레저
2022. 5. 20 오후 2:21:56,1. 지나가는 사람에게 물어본다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,2. 신메뉴를 먹어본다,1. 그냥 먹는다,2. 공연/예술/음악
2022. 5. 20 오후 2:37:18,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,1. 머리를 바꿔본다,2. 같이 카페가서 다음에 만날 약속 잡음,1. 먹던거 먹는다,2. 바꿔서 다시 달라한다,2. 공연/예술/음악
2022. 5. 20 오후 2:37:35,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,1. 먹던거 먹는다,2. 바꿔서 다시 달라한다,6. 체육/레저
2022. 5. 20 오후 2:49:15,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,1. 머리를 바꿔본다,1. 인사만 하고 헤어짐,1. 먹던거 먹는다,1. 그냥 먹는다,1. 문화/취미
2022. 5. 20 오후 3:09:43,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,2. 같이 카페가서 다음에 만날 약속 잡음,1. 먹던거 먹는다,2. 바꿔서 다시 달라한다,5. 봉사
2022. 5. 20 오후 3:54:19,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,2. 같이 카페가서 다음에 만날 약속 잡음,1. 먹던거 먹는다,2. 바꿔서 다시 달라한다,1. 문화/취미
2022. 5. 20 오후 4:25:33,1. 지나가는 사람에게 물어본다,1. 2가지 이상 찾았다,1. 머리를 바꿔본다,2. 같이 카페가서 다음에 만날 약속 잡음,2. 신메뉴를 먹어본다,1. 그냥 먹는다,6. 체육/레저
2022. 5. 20 오후 5:42:28,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,1. 먹던거 먹는다,2. 바꿔서 다시 달라한다,1. 문화/취미
2022. 5. 20 오후 7:09:02,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,1. 머리를 바꿔본다,1. 인사만 하고 헤어짐,2. 신메뉴를 먹어본다,2. 바꿔서 다시 달라한다,1. 문화/취미
2022. 5. 20 오후 7:11:21,1. 지나가는 사람에게 물어본다,1. 2가지 이상 찾았다,1. 머리를 바꿔본다,1. 인사만 하고 헤어짐,2. 신메뉴를 먹어본다,1. 그냥 먹는다,2. 공연/예술/음악
2022. 5. 20 오후 7:11:55,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,1. 먹던거 먹는다,1. 그냥 먹는다,1. 문화/취미
2022. 5. 20 오후 7:47:48,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,2. 신메뉴를 먹어본다,2. 바꿔서 다시 달라한다,6. 체육/레저
2022. 5. 21 오전 7:07:36,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,2. 같이 카페가서 다음에 만날 약속 잡음,2. 신메뉴를 먹어본다,2. 바꿔서 다시 달라한다,7. 창업
2022. 5. 21 오전 7:56:17,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,1. 먹던거 먹는다,2. 바꿔서 다시 달라한다,7. 창업
2022. 5. 22 오후 2:31:56,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,1. 먹던거 먹는다,2. 바꿔서 다시 달라한다,1. 문화/취미
2022. 5. 22 오후 2:37:32,1. 지나가는 사람에게 물어본다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,1. 먹던거 먹는다,2. 바꿔서 다시 달라한다,1. 문화/취미
2022. 5. 22 오후 2:39:05,1. 지나가는 사람에게 물어본다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,2. 같이 카페가서 다음에 만날 약속 잡음,2. 신메뉴를 먹어본다,2. 바꿔서 다시 달라한다,2. 공연/예술/음악
2022. 5. 22 오후 2:40:06,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,1. 머리를 바꿔본다,1. 인사만 하고 헤어짐,1. 먹던거 먹는다,2. 바꿔서 다시 달라한다,1. 문화/취미
2022. 5. 22 오후 2:40:11,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,1. 머리를 바꿔본다,1. 인사만 하고 헤어짐,2. 신메뉴를 먹어본다,1. 그냥 먹는다,1. 문화/취미
2022. 5. 22 오후 2:40:26,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,2. 신메뉴를 먹어본다,2. 바꿔서 다시 달라한다,1. 문화/취미
2022. 5. 22 오후 2:45:06,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,1. 머리를 바꿔본다,1. 인사만 하고 헤어짐,2. 신메뉴를 먹어본다,2. 바꿔서 다시 달라한다,6. 체육/레저
2022. 5. 22 오후 2:46:45,2. 지도 어플을 켠다,2. 1가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,2. 신메뉴를 먹어본다,2. 바꿔서 다시 달라한다,1. 문화/취미
2022. 5. 22 오후 2:47:17,2. 지도 어플을 켠다,1. 2가지 이상 찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,1. 먹던거 먹는다,2. 바꿔서 다시 달라한다,1. 문화/취미
2022. 5. 22 오후 3:22:42,2. 지도 어플을 켠다,3. 못찾았다,2. 지금 머리에서 별로 바꾸지 않는다,1. 인사만 하고 헤어짐,1. 먹던거 먹는다,1. 그냥 먹는다,2. 공연/예술/음악
