club_id,name,club_type_id,mcc_category
632,광주교대 필하모닉 오케스트라 (GNUEPO),3,2
633,유네스코,3,NULL
634,Fc,3,6
635,무아지경,3,2
636,SLAM,3,6
637,CCC,3,3
638,아이싱유싱,3,NULL
639,수라간,3,NULL
640,미스터소울,3,2
641,리밋,3,6
642,밝은방,3,NULL
643,극예술연구회,3,2
644,가톨릭학생회,3,3
645,ESF,3,3
646,하이토스,3,6
647,고전기타반,3,NULL
648,싱건지,3,2
651,브릴란테,3,2
653,숭의여자대학교 동아리연합회,4,100
654,숭의여자대학교 유스호스텔,3,NULL
655,숭의여자대학교 에클레시아,3,3
656,숭의여자대학교 OENOMEL(이너멜),3,2
657,숭의여자대학교 인형나라,3,NULL
658,숭의여자대학교 다솜,3,5
659,숭의여자대학교 취업혜윰,3,NULL
660,화양연화 동아리연합회,4,100
662,숭의여자대학교 RCY,3,5
663,제30대 동아리연합회 라온,4,100
664,경민대학교 볼링동아리 핀액션,3,6
670,경민대학교 문화동아리 컬쳐,3,1
671,경민대학교 사진동아리 파파라치,3,1
675,경민대학교 종교동아리 CCC,3,3
676,경민대학교 족구동아리 족구싶냐,3,6
677,경민대학교 농구동아리 soon,3,6
678,경민대학교 힙합동아리 노디기리,3,1
679,경민대학교 봉사동아리 한울회,3,5
680,경민대학교 댄스동아리 Step-up,3,2
681,경민대학교 유도동아리 와사비리,3,6
682,경민대학교 배드민턴 동아리 하이클리어,3,6
684,경민대학교 연극동아리 리얼리티,3,2
685,경민대학교 축구동아리 까라면까,3,6
695,경민대학교 밴드동아리 한소리,3,2
700,내쇼날,3,5
701,메이크어위시 동아,3,5
702,테티스,3,6
704,RCY,3,5
705,다카(daca 영화예술연구회),3,NULL
706,알파,3,6
707,바둑사랑,3,6
708,The Joker,3,NULL
711,Tipsy,2,NULL
712,제37대 늘봄 총동아리 연합회,4,100
714,마이 드로잉,1,NULL
715,(죽전) 총동아리연합회,4,100
716,충남대학교 총동아리연합회,4,100
717,가나다라,2,7
718,AGS,2,NULL
719,그린나래,4,100
724,M.O.D.E,3,6
726,지게들(봉사동아리),3,5
727,DFC,3,3
728,JDM,3,3
729,함성,3,2
731,시목문학동인회,3,2
732,팝스우리,3,2
736,광주대학교 제 34대 ‘동화’ 총동아리연합회,4,100
738,동그라미,3,6
739,프론티어,3,5
740,칼리스,3,1
741,시공포착,3,1
742,PTP,3,5
743,녹산로타랙트,3,5
744,국악연구회 악도량,3,2
745,조은회,3,5
746,블랙로즈,3,2
747,플랫폼,3,2
748,CCC,3,3
749,킹포스트,3,2
750,기타라스,3,2
751,동의검도부,3,6
752,IVF,3,3
753,터틀즈,3,6
754,MOOD,3,2
755,유니피스,3,3
756,굄,3,6
757,청송,3,1
758,ENM 동아리,3,3
759,쾨겔,3,6
760,UCDC,3,2
761,임팩트,3,6
762,호우회,3,5
763,연극아이,3,2
764,노래가있는터,3,2
765,빛그림,3,1
766,만화그림연구터,3,1
767,가톨릭 학생회,3,3
768,브이로그,3,1
769,SFC,3,3
770,그리메,3,2
771,효민축구회,3,6
772,JDM,3,3
773,터틀 파이터스,3,6
774,손말배움터,3,5
776,유도부,3,6
777,태연동,3,6
778,START,3,6
779,미라클,3,1
780,실버라이트,3,1
781,인천대학교 34대 총동아리연합회 U&I,4,100
782,늘품,4,100
783,토러스,3,2
786,MYWAY,3,2
787,YWAM,3,3
788,식도락,3,1
789,GON(곤),3,6
791,튜닝,3,2
792,기우회,3,1
793,중앙풍물패,3,2
794,애드리,3,4
795,야구동아리 치고바꼬,3,6
796,The Angles,3,2
797,CNUBC(볼링회),3,6
798,농우회,3,6
799,오르락내리락,3,6
800,HUM,3,4
801,아뜰리에,3,2
802,반올림,3,4
803,알케미(Alchemy),3,4
804,풉살,3,6
805,출발,3,1
806,어깨동무,3,2
807,CUE,3,2
808,에이킹스(Akings),3,6
809,징검다리,3,5
810,쥬빌리,3,2
812,세화 FC,3,6
813,시선,3,1
815,산악부,3,6
816,동행,3,5
817,등대지기,3,2
818,디아나,3,2
821,YSP,3,5
822,그림패두레,3,2
823,아이엠그루트,3,2
825,경성유도회,3,6
826,AFKN,3,4
827,CNUTC 굿샷,3,6
828,VIA,3,3
829,D.U.B.C,3,6
830,소리모둠,3,2
832,라온,4,100
835,증권투자연구회,3,4
837,상상 네이버스,3,5
838,RCY,3,5
839,POT,3,2
841,카포(CAPO),3,2
842,하천생태연구,3,1
843,충대서예연수회,3,2
844,우파루파,3,6
845,TIME지연구반,3,4
846,케이콕,3,6
847,꼼지락,3,5
848,CCC,3,3
849,S&S,3,1
851,고려대학교 세종캠퍼스 총동아리연합회 한울,4,100
852,TRACOM,3,2
861,플레임즈,3,2
862,불교동아리 우연히,3,3
863,DSM,3,3
864,토마토,3,5
865,교양독서회,3,4
866,CANNONADE(캐너네이드),3,1
867,충검회,3,6
868,ESF,3,3
869,미르진,3,1
870,썬더,3,6
871,중부산 로타랙트,3,5
872,드래곤즈,3,6
873,셔터(Shutter),3,1
875,백마들,3,2
876,DSM,3,3
877,스쿼시 동아리,3,6
878,조나단,3,6
880,시나브로,3,2
881,IVF,3,3
882,DFC,3,3
883,태우회,3,6
884,트레킹,3,1
885,오아시스,3,6
886,바다,3,6
887,라이크잇,3,1
888,여운,3,2
889,CCC,3,3
890,볼케이노,3,1
891,dsm,3,3
893,활인검우회,3,1
897,군산대 RCY,3,5
899,로타랙트,3,5
900,스파이크,3,6
902,오선지,3,2
903,남대전 로타랙트,3,5
904,충남대학교 관현악단(CNUPO),3,2
905,다이얼로그,3,4
906,Top-Us,3,5
907,무들문학회,3,NULL
908,새날그리기,3,1
909,가톨릭학생회,3,3
910,익투스,3,3
911,말뚝이,3,2
912,열림,3,2
913,허리케인,3,6
914,다향회,3,1
915,컴퓨터연구회(KSCSC),3,4
916,이심이,3,2
917,유니피스,3,5
919,SFC,3,3
920,GameZone,3,6
921,사람과 사랑,3,4
922,바림,3,6
923,미션한판승부,3,6
924,"광주대학교 연극동아리 Scene_Studio""""",3,2
925,캐리,3,5
926,징코아카데미,3,6
927,유스호스텔,3,6
928,흑룡,3,6
929,ESF,3,3
930,UCDC,3,2
931,KMD,3,6
932,태백회,3,1
933,링,3,6
934,경영동우회,3,4
935,CCC,3,3
936,블랙브릭스 (black bricks),3,2
937,slowflow,3,2
939,충남대학교 합창단,3,2
940,그루터기,3,5
941,CDL,3,2
942,강냥펀치,3,1
943,유스호스텔,3,1
944,황룡,3,2
945,SFC,3,3
947,꾼,3,2
948,TIME,3,1
951,세치혀,3,4
952,아르고나우츠,3,4
953,EDA,3,4
954,I'M 아임,3,4
955,PINCOM,3,4
956,DT(독서토론 마당),3,4
957,하늬울림,3,1
958,멋쟁이사자처럼,3,4
959,인인극회,3,1
960,INUO,3,1
961,IUDC,3,1
962,젊은영상,3,1
964,함성,3,1
965,크레퍼스,3,1
966,포크라인,3,1
967,파이오니아,3,1
968,인스디스,3,1
969,로타랙트,3,5
970,느을사랑,3,5
971,초아다솜,3,5
